,Price,Year,Mileage,City,State,Vin,Make,Model
338600,12990,2010,175297,Cedar City, UT,1FTFW1EV1AKE29608,Ford,F-1504WD
338601,8995,2006,179203,Lincoln, NE,1FTPX14V86NB83701,Ford,F-1504WD
338603,45000,2016,13579,Surprise, AZ,1FTEW1EGXGKE46901,Ford,F-1504WD
338614,16990,2011,135802,Cedar City, UT,1FTFW1ET7BFA94816,Ford,F-1504WD
338617,29990,2012,55843,Anoka, MN,1FTFW1ET9CFC63137,Ford,F-1504WD
338619,42997,2015,38604,El Paso, TX,1FTEW1EG3FFB90432,Ford,F-1504WD
338620,29999,2014,23443,Omaha, NE,1FTFW1ET7EKE31724,Ford,F-1504WD
338623,38000,2012,56935,Florissant, MO,1FTFW1R67CFB30221,Ford,F-1504WD
338629,32792,2014,44311,Grenada, MS,1FTFW1EF8EKE17194,Ford,F-1504WD
338632,17000,2012,134642,Fishers, IN,1FTFW1EF2CFB47224,Ford,F-1504WD
338633,38900,2015,69198,Savannah, GA,1FTEW1EG7FFC25750,Ford,F-1504WD
338635,33158,2015,62363,Arlington, WA,1FTFW1EF0FFB70523,Ford,F-1504WD
338645,22999,2011,97128,El Cajon, CA,1FTFW1ET8BFC65976,Ford,F-1504WD
338650,42375,2015,40320,Mount Juliet, TN,1FTEW1EG0FFA49141,Ford,F-1504WD
338656,25995,2015,62182,La Grange, TX,1FTFX1EF5FKE29009,Ford,F-1504WD
338662,31375,2016,11210,Kansas City, KS,1FTEX1EP7GKF81721,Ford,F-1504WD
338664,35990,2014,23590,Kennewick, WA,1FTFW1EF0EKG27322,Ford,F-1504WD
338665,43365,2015,31185,Hopkins, MN,1FTEW1EG7FFC53743,Ford,F-1504WD
338666,42593,2015,34874,Philadelphia, MS,1FTEW1EG5FKD46574,Ford,F-1504WD
338668,16950,2006,93838,Junction City, KS,1FTPW14V96KC45501,Ford,F-1504WD
338672,36688,2014,90124,Duncan, OK,1FTFW1R66EFC70506,Ford,F-1504WD
338674,43000,2016,28891,Brooksville, FL,1FTEW1EP8GFC94822,Ford,F-1504WD
338679,42990,2015,40627,Jacksonville, FL,1FTEW1EG1FKE69000,Ford,F-1504WD
338681,44078,2015,16277,Brandon, MS,1FTFW1EF7FKD48144,Ford,F-1504WD
338685,15580,2008,127750,Odessa, TX,1FTPW14V98KC57196,Ford,F-1504WD
338687,18981,2007,111604,Henderson, TN,1FTPW14537KA53637,Ford,F-1504WD
338691,44988,2015,16176,Tacoma, WA,1FTEW1EG9FKE32437,Ford,F-1504WD
338693,15888,2008,157525,High Point, NC,1FTPW14V78FA41632,Ford,F-1504WD
338695,44300,2016,23867,Waldorf, MD,1FTEW1EF2GFC45803,Ford,F-1504WD
338696,42990,2015,37061,Chapel Hill, NC,1FTEW1EG4FFA65696,Ford,F-1504WD
338703,35995,2010,61910,Ontario, CA,1FTEX1E66AFD11032,Ford,F-1504WD
338707,34999,2015,22282,Colorado Springs, CO,1FTEW1EG1FKD83900,Ford,F-1504WD
338712,20995,2011,122018,Houston, TX,1FTFW1EF5BFC15921,Ford,F-1504WD
338718,28495,2015,37384,Fond du Lac, WI,1FTEX1EP5FKD45826,Ford,F-1504WD
338720,43985,2016,27312,Wichita Falls, TX,1FTEW1EPXGKE60801,Ford,F-1504WD
338730,45963,2016,10368,Blair, NE,1FTEW1EP8GFB84031,Ford,F-1504WD
338736,42993,2015,30847,Little Rock, AR,1FTEW1EF7FKD53551,Ford,F-1504WD
338738,42986,2015,21120,Wake Forest, NC,1FTEW1EG6FFA06259,Ford,F-1504WD
338739,25990,2010,88127,Spokane Valley, WA,1FTFW1EV9AFA42460,Ford,F-1504WD
338741,41971,2015,34556,Delavan, WI,1FTEW1EG2FFA51022,Ford,F-1504WD
338742,42590,2015,35814,Memphis, TN,1FTEW1EF6FFB95888,Ford,F-1504WD
338744,42990,2015,32241,Alexandria, VA,1FTEW1EG7FFA19537,Ford,F-1504WD
338746,41984,2015,40386,Cumming, GA,1FTEW1EF4FFA77886,Ford,F-1504WD
338747,27889,2014,25328,Nokomis, FL,1FTFX1EF3EKF50071,Ford,F-1504WD
338751,28470,2012,75603,Auburn, AL,1FTFW1ET5CFB59194,Ford,F-1504WD
338752,41621,2015,56980,Corpus Christi, TX,1FTEW1EFXFFB69469,Ford,F-1504WD
338754,17998,2012,129373,Milwaukie, OR,1FTFW1EF9CFB55935,Ford,F-1504WD
338756,42195,2015,40717,Fallon, NV,1FTEW1EF8FFC07443,Ford,F-1504WD
338757,43950,2015,20362,Richmond, VA,1FTEW1EF9FFA95994,Ford,F-1504WD
338758,45262,2016,23713,Norfolk, VA,1FTEW1EP4GFB65654,Ford,F-1504WD
338760,44493,2015,18933,New Haven, IN,1FTEW1EF0FFC91919,Ford,F-1504WD
338765,43900,2015,20280,Kernersville, NC,1FTFW1EG4FFB45116,Ford,F-1504WD
338769,42999,2015,21337,Puyallup, WA,1FTEW1EG7FFA82699,Ford,F-1504WD
